customer_id,customer_name,EINs,primary_contact_name,primary_contact_email,executive_pod,contract_tier,PEPM_rate,per_form_rate,num_eins,num_forms_last_year,onboarding_status,last_file_upload_timestamp,last_file_type,last_plan_update_timestamp,deadline_date,data_quality_score,penalty_exposure,printing_status,mail_batch_id,1094_status,1095_status,filing_transaction_ids,validation_errors_json,support_tickets_json,last_sla_review
1,"Acme Manufacturing","12-3456789","Jane Doe","jane.doe@acme.com","Pod A","Tier 2",2.50,0.45,1,15000,"Onboarded","2025-12-01T09:12:00Z","CSV","2025-11-30T12:00:00Z","2025-12-15",95,0,"Printed","MB-20251201-01","Submitted","Accepted","[""TXN-1094-ACME-2025""]","[]","[]","2025-11-20"
2,"Bay State Logistics","98-7654321","John Smith","john.smith@baystate.com","Pod B","Tier 1",1.50,0.50,3,45000,"Onboarded","2025-11-29T08:00:00Z","SFTP","2025-11-15T08:00:00Z","2025-12-01",45,12000,"Not scheduled","","Not started","Not filed","[]","[{""code"":""E001"",""severity"":""Critical"",""count"":12,""sample"":""row 15-26""}]","[{""id"":1001,""severity"":""High"",""status"":""Open""}]","2025-11-01"
3,"Cornerstone University","11-2233445","Mary Allen","mary.allen@cornerstone.edu","Pod C","Tier 3",3.00,0.40,2,25000,"Partially onboarded","2025-11-10T07:45:00Z","Portal","2025-12-05T10:00:00Z","2025-12-01",60,45000,"Scheduled","MB-20251130-02","Draft","Draft","[]","[{""code"":""P001"",""severity"":""Medium"",""count"":5,""sample"":""plan missing start_date""}]","[]","2025-11-30"
4,"Global Tech Solutions","55-1234567","Robert Chen","r.chen@globaltech.io","Pod A","Tier 1",1.75,0.55,5,82000,"Onboarded","2025-12-05T14:30:00Z","CSV","2025-12-04T09:00:00Z","2025-12-20",88,5200,"In progress","MB-20251205-03","Submitted","Pending","[""TXN-1094-GTS-2025""]","[{""code"":""W001"",""severity"":""Warning"",""count"":3,""sample"":""row 45-47""}]","[]","2025-12-01"
5,"Mountain View Healthcare","33-9876543","Sarah Johnson","s.johnson@mvhc.org","Pod B","Tier 2",2.25,0.48,2,28000,"Onboarded","2025-12-03T11:15:00Z","SFTP","2025-12-02T16:00:00Z","2025-12-18",92,0,"Printed","MB-20251203-04","Submitted","Accepted","[""TXN-1094-MVHC-2025""]","[]","[]","2025-11-25"
6,"Riverside School District","77-4455667","Michael Torres","m.torres@rsd.edu","Pod C","Tier 3",2.80,0.42,1,12500,"Onboarded","2025-11-28T10:00:00Z","Portal","2025-11-27T14:00:00Z","2025-12-10",78,8500,"Scheduled","MB-20251128-05","Draft","Not filed","[]","[{""code"":""E002"",""severity"":""Critical"",""count"":8,""sample"":""missing SSN rows 100-107""}]","[{""id"":1002,""severity"":""Medium"",""status"":""In Progress""}]","2025-11-15"
7,"Coastal Financial Services","22-8765432","Emily Davis","e.davis@coastalfs.com","Pod A","Tier 1",1.60,0.52,4,55000,"Onboarded","2025-12-06T08:45:00Z","CSV","2025-12-05T12:00:00Z","2025-12-22",96,0,"Printed","MB-20251206-06","Submitted","Accepted","[""TXN-1094-CFS-2025""]","[]","[]","2025-12-02"
8,"Metro Transit Authority","44-3344556","David Wilson","d.wilson@metrotransit.gov","Pod B","Tier 2",2.35,0.46,2,32000,"Partially onboarded","2025-11-25T09:30:00Z","SFTP","2025-11-20T11:00:00Z","2025-12-05",52,28000,"Not scheduled","","Not started","Not filed","[]","[{""code"":""E001"",""severity"":""Critical"",""count"":15,""sample"":""row 200-214""},{""code"":""P002"",""severity"":""Warning"",""count"":22,""sample"":""coverage gaps""}]","[{""id"":1003,""severity"":""High"",""status"":""Open""},{""id"":1004,""severity"":""High"",""status"":""Open""}]","2025-11-10"
9,"Summit Energy Corp","66-7788990","Lisa Anderson","l.anderson@summitenergy.com","Pod C","Tier 1",1.55,0.54,6,95000,"Onboarded","2025-12-04T15:00:00Z","CSV","2025-12-03T10:00:00Z","2025-12-25",90,2100,"In progress","MB-20251204-07","Submitted","Pending","[""TXN-1094-SEC-2025""]","[{""code"":""W002"",""severity"":""Warning"",""count"":2,""sample"":""address format row 5-6""}]","[]","2025-11-28"
10,"Pacific Northwest Medical","88-1122334","James Brown","j.brown@pnwmed.org","Pod A","Tier 2",2.40,0.47,3,38000,"Onboarded","2025-12-02T13:20:00Z","Portal","2025-12-01T08:00:00Z","2025-12-16",85,3800,"Scheduled","MB-20251202-08","Draft","Draft","[]","[{""code"":""P001"",""severity"":""Medium"",""count"":4,""sample"":""plan effective date mismatch""}]","[]","2025-11-22"
